Product,Subscribers From,Subscribers To,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
"[Essentials, Professional, Enterprise, Unlimited] Heroku - 1,000 Add-on Credits (Per Month) - General",6,999999999,,,,,,>0.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku - 1,000 Add-on Credits (Per Month) - Partner",1,5,1.20%,>1.20%,,,,
"[Essentials, Professional, Enterprise, Unlimited] Heroku - 1,000 Add-on Credits (Per Month) - Partner",6,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Heroku Shield - 1B Connect Rows",1,999999,5.00%,7.00%,9.00%,11.00%,13.00%,>13.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 250k Connect Rows",1,4,50.00%,65.00%,75.00%,90.00%,,>90.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 250k Connect Rows",5,40,75.00%,85.00%,90.00%,95.00%,,>95.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 250k Connect Rows",41,400,90.00%,93.00%,95.00%,97.00%,,>97.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 250k Connect Rows",401,4000,93.00%,95.00%,97.00%,99.00%,,>99.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 250k Connect Rows",4001,999999999,,,,,,>0.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku - Dev Starter Package",1,999999999,20.00%,30.00%,40.00%,>40.00%,,
"[Essentials, Professional, Enterprise, Unlimited] Heroku - 1 Private Space",1,2,1.00%,4.00%,7.00%,10.00%,,>10.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku - 1 Private Space",3,5,4.00%,7.00%,10.00%,13.00%,,>13.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku - 1 Private Space",6,10,7.00%,10.00%,13.00%,16.00%,,>16.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku - 1 Private Space",11,999999999,,,,,,>0.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 1 Private Space",1,2,10.00%,18.00%,26.00%,34.00%,,>34.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 1 Private Space",3,5,18.00%,26.00%,34.00%,42.00%,,>42.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 1 Private Space",6,10,26.00%,34.00%,42.00%,54.00%,,>54.00%
"[Essentials, Professional, Enterprise, Unlimited] Heroku Shield - 1 Private Space",11,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] External Engagement Management",1,4,20.00%,40.00%,50.00%,60.00%,80.00%,>80.00%
"[Enterprise, Unlimited] External Engagement Management",5,9,25.00%,45.00%,55.00%,65.00%,85.00%,>85.00%
"[Enterprise, Unlimited] External Engagement Management",10,19,30.00%,50.00%,60.00%,70.00%,90.00%,>90.00%
"[Enterprise, Unlimited] External Engagement Management",20,49,35.00%,55.00%,65.00%,75.00%,95.00%,>95.00%
"[Enterprise, Unlimited] External Engagement Management",50,199,40.00%,60.00%,70.00%,80.00%,95.00%,>95.00%
"[Enterprise, Unlimited] External Engagement Management",200,499,45.00%,65.00%,75.00%,85.00%,95.00%,>95.00%
"[Enterprise, Unlimited] External Engagement Management",500,999999,50.00%,70.00%,80.00%,90.00%,95.00%,>95.00%
"[Enterprise, Unlimited] Net Zero Cloud Starter - LP",1,999999,20.00%,40.00%,50.00%,60.00%,75.00%,>75.00%
"[Enterprise, Unlimited] Net Zero Cloud Multi-Organization Support",1,9,25.00%,45.00%,55.00%,65.00%,85.00%,>85.00%
"[Enterprise, Unlimited] Net Zero Cloud Multi-Organization Support",10,19,30.00%,50.00%,60.00%,70.00%,90.00%,>90.00%
"[Enterprise, Unlimited] Net Zero Cloud Multi-Organization Support",20,49,35.00%,55.00%,65.00%,75.00%,90.00%,>90.00%
"[Enterprise, Unlimited] Net Zero Cloud Multi-Organization Support",50,199,40.00%,60.00%,70.00%,80.00%,90.00%,>90.00%
"[Enterprise, Unlimited] Net Zero Cloud Multi-Organization Support",200,499,45.00%,65.00%,75.00%,80.00%,90.00%,>90.00%
"[Enterprise, Unlimited] Net Zero Cloud Multi-Organization Support",500,99999,50.00%,70.00%,75.00%,80.00%,90.00%,>90.00%
"[Enterprise, Unlimited] Net Zero Cloud User Add On",1,9,25.00%,45.00%,55.00%,65.00%,85.00%,>85.00%
"[Enterprise, Unlimited] Net Zero Cloud User Add On",10,19,30.00%,50.00%,60.00%,70.00%,90.00%,>90.00%
"[Enterprise, Unlimited] Net Zero Cloud User Add On",20,49,35.00%,55.00%,65.00%,75.00%,95.00%,>95.00%
"[Enterprise, Unlimited] Net Zero Cloud User Add On",50,199,40.00%,60.00%,70.00%,80.00%,95.00%,>95.00%
"[Enterprise, Unlimited] Net Zero Cloud User Add On",200,499,45.00%,65.00%,75.00%,85.00%,95.00%,>95.00%
"[Enterprise, Unlimited] Net Zero Cloud User Add On",500,999999,50.00%,70.00%,80.00%,90.00%,95.00%,>95.00%
"[Enterprise, Unlimited] Salesforce.org Accounting Subledger - Add-on Ledger Entries (1,000)",1,99,12.28%,16.67%,21.05%,>21.05%,,
"[Enterprise, Unlimited] Salesforce.org Accounting Subledger - Add-on Ledger Entries (1,000)",100,299,29.82%,35.09%,42.11%,47.37%,,>47.37%
"[Enterprise, Unlimited] Salesforce.org Accounting Subledger - Add-on Ledger Entries (1,000)",300,499,47.37%,51.75%,57.02%,64.91%,,>64.91%
"[Enterprise, Unlimited] Salesforce.org Accounting Subledger - Add-on Ledger Entries (1,000)",500,999,59.04%,62.28%,65.79%,73.68%,,>73.68%
"[Enterprise, Unlimited] Salesforce.org Accounting Subledger - Add-on Ledger Entries (1,000)",1000,999999999,70.79%,71.93%,75.44%,82.46%,,>82.46%
"[Enterprise, Unlimited] Salesforce.org Accounting Subledger - Starter",1,999999999,12.00%,17.00%,21.00%,25.00%,,>25.00%
"[Professional, Enterprise, Unlimited] Data Storage (50MB)",1,999999999,60.00%,82.00%,>82.00%,,,
"[Enterprise, Unlimited] Backup & Recover Continuous Data Protection - (5 Objects)",1,1,0.00%,0.00%,0.00%,0.00%,10.00%,>10.00%
"[Enterprise, Unlimited] Backup & Recover Continuous Data Protection - (5 Objects)",2,2,2.00%,4.00%,6.00%,8.00%,10.00%,>10.00%
"[Enterprise, Unlimited] Backup & Recover Continuous Data Protection - (5 Objects)",3,3,10.00%,12.00%,15.00%,18.00%,20.00%,>20.00%
"[Enterprise, Unlimited] Backup & Recover Continuous Data Protection - (5 Objects)",4,4,15.00%,20.00%,25.00%,28.00%,30.00%,>30.00%
"[Enterprise, Unlimited] Backup & Recover Continuous Data Protection - (5 Objects)",5,8,20.00%,30.00%,40.00%,45.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Gov Premier Support - Backup & Recover, Accelerate",1,999999999,25.00%,30.00%,50.00%,>50.00%,,
"[Enterprise, Unlimited] Own Salesforce Accelerate - Azure",1,999999999,0.00%,10.00%,20.00%,30.00%,40.00%,>40.00%
"[Enterprise, Unlimited] Salesforce Archive - Gov (1 GB)",1,199,19.00%,23.00%,27.00%,31.00%,35.00%,>35.00%
"[Enterprise, Unlimited] Salesforce Archive - Gov (1 GB)",200,399,26.00%,30.00%,34.00%,38.00%,42.00%,>42.00%
"[Enterprise, Unlimited] Salesforce Archive - Gov (1 GB)",400,1999,40.00%,53.00%,57.00%,61.00%,65.00%,>65.00%
"[Enterprise, Unlimited] Salesforce Archive - Gov (1 GB)",2000,3999,54.00%,64.00%,68.00%,72.00%,76.00%,>76.00%
"[Enterprise, Unlimited] Salesforce Archive - Gov (1 GB)",4000,19999,66.00%,76.00%,79.00%,82.00%,85.00%,>85.00%
"[Enterprise, Unlimited] Salesforce Archive - Gov (1 GB)",20000,39999,75.00%,78.00%,81.00%,84.00%,85.00%,>85.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Data - Gov (1 GB)",1,199,19.00%,23.00%,27.00%,34.00%,40.00%,>40.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Data - Gov (1 GB)",200,399,34.00%,45.00%,49.00%,56.00%,65.00%,>65.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Data - Gov (1 GB)",400,1999,57.00%,58.00%,59.00%,62.00%,67.00%,>67.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Data - Gov (1 GB)",2000,3999,63.00%,64.00%,66.00%,68.00%,72.00%,>72.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Data - Gov (1 GB)",4000,19999,68.00%,69.00%,70.00%,72.00%,74.00%,>74.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Data - Gov (1 GB)",20000,39999,72.00%,73.00%,74.00%,75.00%,78.00%,>78.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Data - Gov (1 GB)",40000,999999,74.00%,75.00%,76.00%,77.00%,78.00%,>78.00%
"[Professional, Enterprise, Unlimited] Salesforce Backup - Usage (1GB) - Legacy",1,199,0.00%,0.00%,0.00%,0.00%,0.00%,>0.00%
"[Professional, Enterprise, Unlimited] Salesforce Backup - Usage (1GB) - Legacy",200,399,2.00%,4.00%,6.00%,8.00%,10.00%,>10.00%
"[Professional, Enterprise, Unlimited] Salesforce Backup - Usage (1GB) - Legacy",400,1499,10.00%,12.00%,15.00%,18.00%,20.00%,>20.00%
"[Professional, Enterprise, Unlimited] Salesforce Backup - Usage (1GB) - Legacy",1500,4999,15.00%,30.00%,45.00%,48.00%,50.00%,>50.00%
"[Professional, Enterprise, Unlimited] Salesforce Backup - Usage (1GB) - Legacy",5000,9999,20.00%,45.00%,55.00%,65.00%,70.00%,>70.00%
"[Professional, Enterprise, Unlimited] Salesforce Backup - Usage (1GB) - Legacy",10000,1000000000,25.00%,50.00%,70.00%,75.00%,80.00%,>80.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Files - Gov (1 GB)",1,199,10.00%,16.00%,22.00%,24.00%,25.00%,>25.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Files - Gov (1 GB)",200,399,14.00%,20.00%,25.00%,28.00%,30.00%,>30.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Files - Gov (1 GB)",400,1999,20.00%,25.00%,29.00%,32.00%,35.00%,>35.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Files - Gov (1 GB)",2000,3999,26.00%,30.00%,34.00%,37.00%,40.00%,>40.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Files - Gov (1 GB)",4000,19999,30.00%,34.00%,38.00%,40.00%,42.00%,>42.00%
"[Enterprise, Unlimited] Salesforce Backup & Recover - Files - Gov (1 GB)",20000,39999,33.00%,37.00%,40.00%,45.00%,50.00%,>50.00%
[Essentials] Salesforce Inbox - Promotional Offer,1,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",1,10,2.00%,5.50%,15.00%,30.00%,,>30.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",11,20,3.00%,7.00%,20.00%,35.00%,,>35.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",21,40,7.00%,10.50%,25.00%,40.00%,,>40.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",41,70,14.00%,20.00%,35.00%,40.00%,,>40.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",71,100,15.00%,28.00%,38.00%,43.00%,,>43.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",101,200,20.00%,32.00%,38.00%,43.00%,,>43.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",201,300,25.00%,32.00%,39.00%,44.00%,,>44.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",301,500,25.00%,36.00%,40.00%,49.00%,,>49.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",501,700,30.00%,36.00%,44.00%,51.00%,,>51.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",701,1000,35.00%,43.00%,50.50%,55.50%,,>55.50%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",1001,1500,35.00%,47.00%,56.00%,62.00%,,>62.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",1501,2000,45.00%,55.00%,62.00%,66.00%,,>66.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",2001,2500,45.00%,57.00%,66.00%,69.00%,,>69.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",2501,3000,50.00%,59.00%,66.00%,69.00%,,>69.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",3001,3500,54.00%,60.00%,66.00%,71.00%,,>71.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",3501,4000,58.00%,61.00%,66.00%,73.00%,,>73.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",4001,5000,60.00%,65.00%,70.00%,76.00%,,>76.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",5001,10000,65.00%,70.00%,78.00%,83.00%,,>83.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",10001,15000,70.00%,75.00%,82.00%,87.00%,,>87.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",15001,20000,75.00%,80.00%,86.00%,88.00%,,>88.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",20001,30000,80.00%,83.00%,86.00%,90.00%,,>90.00%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",30001,40000,85.00%,86.00%,88.00%,90.50%,,>90.50%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",40001,50000,85.00%,88.00%,90.00%,92.30%,,>92.30%
"[Enterprise, Unlimited] Partner Community for Media Cloud Advanced - Members",50001,1000000000,,,,,,>0.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",1,9,21.00%,31.00%,38.00%,42.00%,51.00%,>51.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",10,24,24.00%,33.00%,39.00%,44.00%,51.00%,>51.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",25,49,27.00%,33.00%,39.00%,44.00%,53.00%,>53.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",50,99,29.00%,34.00%,41.00%,46.00%,56.00%,>56.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",100,199,31.00%,40.00%,49.00%,54.00%,58.00%,>58.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",200,499,31.00%,45.00%,53.00%,58.00%,62.00%,>62.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",500,999,31.00%,48.00%,56.00%,63.00%,67.00%,>67.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",1000,1999,36.00%,49.00%,62.00%,69.00%,73.00%,>73.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",2000,2999,36.00%,52.00%,65.00%,74.00%,80.00%,>80.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",3000,4999,36.00%,54.00%,67.00%,76.00%,82.00%,>82.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",5000,7499,40.00%,56.00%,69.00%,78.00%,84.00%,>84.00%
"[Professional, Enterprise, Unlimited] CPQ for Partner Community Members",7500,999999999,41.00%,57.00%,70.00%,79.00%,85.00%,>85.00%
[Unlimited] Media Cloud Growth - Sales,1,9,25.00%,35.00%,41.00%,45.00%,54.00%,>54.00%
[Unlimited] Media Cloud Growth - Sales,10,24,28.00%,37.00%,41.00%,47.00%,54.00%,>54.00%
[Unlimited] Media Cloud Growth - Sales,25,49,31.00%,37.00%,41.00%,47.00%,56.00%,>56.00%
[Unlimited] Media Cloud Growth - Sales,50,99,34.00%,38.00%,44.00%,48.00%,57.00%,>57.00%
[Unlimited] Media Cloud Growth - Sales,100,199,35.00%,43.00%,51.00%,56.00%,59.00%,>59.00%
[Unlimited] Media Cloud Growth - Sales,200,499,35.00%,49.00%,56.00%,59.00%,64.00%,>64.00%
[Unlimited] Media Cloud Growth - Sales,500,999,35.00%,50.00%,58.00%,65.00%,69.00%,>69.00%
[Unlimited] Media Cloud Growth - Sales,1000,1999,39.00%,51.00%,64.00%,70.00%,74.00%,>74.00%
[Unlimited] Media Cloud Growth - Sales,2000,2999,39.00%,55.00%,67.00%,75.00%,81.00%,>81.00%
[Unlimited] Media Cloud Growth - Sales,3000,4999,39.00%,56.00%,69.00%,77.00%,83.00%,>83.00%
[Unlimited] Media Cloud Growth - Sales,5000,7499,44.00%,58.00%,71.00%,79.00%,86.00%,>86.00%
[Unlimited] Media Cloud Growth - Sales,7500,1000000000,45.00%,59.00%,72.00%,80.00%,87.00%,>87.00%
"[Enterprise, Unlimited] Consumer Goods Cloud - Trade Promotion Management",1,999999999,,,,,,>0.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,1,9,16.00%,22.00%,30.00%,39.00%,44.00%,>44.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,10,24,17.00%,23.00%,33.00%,43.00%,49.00%,>49.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,25,49,20.00%,26.00%,34.00%,44.00%,51.00%,>51.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,50,99,21.00%,27.00%,35.00%,45.00%,53.00%,>53.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,100,199,23.00%,29.00%,39.00%,49.00%,56.00%,>56.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,200,499,24.00%,36.00%,46.00%,54.00%,58.00%,>58.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,500,999,24.00%,39.00%,50.00%,59.00%,64.00%,>64.00%
[Unlimited] Spiff Provisioning - Agentforce 1 Edition,1000,1999,25.00%,41.00%,52.00%,62.00%,67.00%,>67.00%
"[Enterprise, Unlimited] Key Account Management",1,999999999,,,,,,>0.00%
[Enterprise] Manufacturing Cloud - Sales,1,9,16.00%,36.00%,38.00%,46.00%,55.00%,>55.00%
[Enterprise] Manufacturing Cloud - Sales,10,24,16.00%,36.00%,38.00%,46.00%,55.00%,>55.00%
[Enterprise] Manufacturing Cloud - Sales,25,49,23.00%,38.00%,41.00%,52.00%,55.00%,>55.00%
[Enterprise] Manufacturing Cloud - Sales,50,99,23.00%,39.00%,42.00%,58.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Sales,100,199,23.00%,41.00%,43.00%,59.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Sales,200,499,23.00%,45.00%,46.00%,59.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Sales,500,999,23.00%,45.00%,49.00%,59.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Sales,1000,999999999,29.00%,49.00%,56.00%,61.00%,64.00%,>64.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",1,9,19.00%,24.00%,29.00%,33.00%,43.00%,>43.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",10,49,30.00%,34.00%,38.00%,42.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",50,199,32.00%,36.00%,40.00%,44.00%,52.00%,>52.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",200,499,33.00%,37.00%,41.00%,45.00%,53.00%,>53.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",500,999,36.00%,40.00%,44.00%,47.00%,55.00%,>55.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",1000,1999,45.00%,48.00%,51.00%,54.00%,61.00%,>61.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",2000,2999,46.00%,49.00%,52.00%,55.00%,62.00%,>62.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",3000,4999,52.00%,55.00%,58.00%,60.00%,66.00%,>66.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",5000,7499,55.00%,57.00%,60.00%,63.00%,68.00%,>68.00%
"[Enterprise, Unlimited] Agentforce for Sales Add-on",7500,999999999,56.00%,59.00%,61.00%,64.00%,69.00%,>69.00%
[Enterprise] Media Cloud Growth - Sales,1,9,40.00%,44.00%,52.00%,59.00%,63.00%,>63.00%
[Enterprise] Media Cloud Growth - Sales,10,24,40.00%,45.00%,53.00%,59.00%,66.00%,>66.00%
[Enterprise] Media Cloud Growth - Sales,25,49,42.00%,45.00%,53.00%,61.00%,66.00%,>66.00%
[Enterprise] Media Cloud Growth - Sales,50,99,43.00%,46.00%,54.00%,62.00%,67.00%,>67.00%
[Enterprise] Media Cloud Growth - Sales,100,199,44.00%,50.00%,57.00%,65.00%,69.00%,>69.00%
[Enterprise] Media Cloud Growth - Sales,200,499,45.00%,54.00%,61.00%,67.00%,70.00%,>70.00%
[Enterprise] Media Cloud Growth - Sales,500,999,46.00%,56.00%,63.00%,70.00%,73.00%,>73.00%
[Enterprise] Media Cloud Growth - Sales,1000,1999,47.00%,58.00%,65.00%,73.00%,76.00%,>76.00%
[Enterprise] Media Cloud Growth - Sales,2000,999999999,48.00%,60.00%,68.00%,75.00%,81.00%,>81.00%
[Enterprise] Consumer Goods Cloud - Sales,1,9,18.00%,24.00%,35.00%,43.00%,49.00%,>49.00%
[Enterprise] Consumer Goods Cloud - Sales,10,24,19.00%,26.00%,37.00%,58.00%,60.00%,>60.00%
[Enterprise] Consumer Goods Cloud - Sales,25,49,22.00%,26.00%,37.00%,58.00%,60.00%,>60.00%
[Enterprise] Consumer Goods Cloud - Sales,50,99,23.00%,26.00%,38.00%,59.00%,61.00%,>61.00%
[Enterprise] Consumer Goods Cloud - Sales,100,199,24.00%,31.00%,42.00%,59.00%,61.00%,>61.00%
[Enterprise] Consumer Goods Cloud - Sales,200,499,25.00%,37.00%,48.00%,60.00%,61.00%,>61.00%
[Enterprise] Consumer Goods Cloud - Sales,500,999,25.00%,40.00%,51.00%,60.00%,65.00%,>65.00%
[Enterprise] Consumer Goods Cloud - Sales,1000,1999,27.00%,42.00%,53.00%,63.00%,67.00%,>67.00%
[Enterprise] Consumer Goods Cloud - Sales,2000,999999999,27.00%,45.00%,58.00%,68.00%,74.00%,>74.00%
[Unlimited] Sales Cloud,1,9,17.00%,27.00%,35.00%,39.00%,48.00%,>48.00%
[Unlimited] Sales Cloud,10,24,19.00%,29.00%,36.00%,41.00%,49.00%,>49.00%
[Unlimited] Sales Cloud,25,49,23.00%,29.00%,36.00%,41.00%,50.00%,>50.00%
[Unlimited] Sales Cloud,50,99,25.00%,30.00%,38.00%,43.00%,54.00%,>54.00%
[Unlimited] Sales Cloud,100,199,27.00%,37.00%,46.00%,51.00%,56.00%,>56.00%
[Unlimited] Sales Cloud,200,499,27.00%,42.00%,50.00%,56.00%,60.00%,>60.00%
[Unlimited] Sales Cloud,500,999,27.00%,45.00%,54.00%,61.00%,65.00%,>65.00%
[Unlimited] Sales Cloud,1000,1999,33.00%,46.00%,60.00%,67.00%,71.00%,>71.00%
[Unlimited] Sales Cloud,2000,2999,33.00%,49.00%,64.00%,72.00%,79.00%,>79.00%
[Unlimited] Sales Cloud,3000,4999,33.00%,51.00%,65.00%,75.00%,81.00%,>81.00%
[Unlimited] Sales Cloud,5000,7499,37.00%,54.00%,67.00%,77.00%,83.00%,>83.00%
[Unlimited] Sales Cloud,7500,1000000000,38.00%,55.00%,68.00%,78.00%,85.00%,>85.00%
[Unlimited] Financial Services Cloud - Sales,1,9,32.00%,41.00%,47.00%,50.00%,58.00%,>58.00%
[Unlimited] Financial Services Cloud - Sales,10,24,35.00%,43.00%,47.00%,52.00%,58.00%,>58.00%
[Unlimited] Financial Services Cloud - Sales,25,49,38.00%,43.00%,47.00%,52.00%,60.00%,>60.00%
[Unlimited] Financial Services Cloud - Sales,50,99,40.00%,44.00%,49.00%,53.00%,61.00%,>61.00%
[Unlimited] Financial Services Cloud - Sales,100,199,41.00%,48.00%,56.00%,61.00%,63.00%,>63.00%
[Unlimited] Financial Services Cloud - Sales,200,499,41.00%,54.00%,60.00%,63.00%,67.00%,>67.00%
[Unlimited] Financial Services Cloud - Sales,500,999,41.00%,55.00%,62.00%,68.00%,72.00%,>72.00%
[Unlimited] Financial Services Cloud - Sales,1000,1999,45.00%,56.00%,67.00%,73.00%,76.00%,>76.00%
[Unlimited] Financial Services Cloud - Sales,2000,2999,45.00%,59.00%,70.00%,77.00%,83.00%,>83.00%
[Unlimited] Financial Services Cloud - Sales,3000,4999,45.00%,61.00%,72.00%,79.00%,85.00%,>85.00%
[Unlimited] Financial Services Cloud - Sales,5000,7499,49.00%,62.00%,74.00%,81.00%,87.00%,>87.00%
[Enterprise] Sales Cloud (Emerging Market),1,9,38.00%,43.00%,50.00%,57.00%,61.00%,>61.00%
[Enterprise] Sales Cloud (Emerging Market),10,24,39.00%,45.00%,52.00%,60.00%,66.00%,>66.00%
[Enterprise] Sales Cloud (Emerging Market),25,49,41.00%,45.00%,52.00%,60.00%,66.00%,>66.00%
[Enterprise] Sales Cloud (Emerging Market),50,99,42.00%,45.00%,53.00%,61.00%,66.00%,>66.00%
[Enterprise] Sales Cloud (Emerging Market),100,199,42.00%,47.00%,58.00%,71.00%,76.00%,>76.00%
[Enterprise] Sales Cloud (Emerging Market),200,499,43.00%,53.00%,64.00%,79.00%,85.00%,>85.00%
[Enterprise] Sales Cloud (Emerging Market),500,999,43.00%,56.00%,68.00%,83.00%,86.00%,>86.00%
[Enterprise] Sales Cloud (Emerging Market),1000,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",1,1,16.00%,22.00%,27.00%,34.00%,40.00%,>40.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",2,3,20.00%,24.00%,30.00%,35.00%,42.00%,>42.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",4,9,22.00%,27.00%,32.00%,38.00%,45.00%,>45.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",10,24,26.00%,30.00%,35.00%,40.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",25,49,30.00%,34.00%,38.00%,43.00%,54.00%,>54.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",50,99,32.00%,34.00%,40.00%,46.00%,58.00%,>58.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",100,249,34.00%,37.00%,43.00%,50.00%,61.00%,>61.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",250,499,34.00%,40.00%,48.00%,53.00%,64.00%,>64.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",500,999,38.00%,42.00%,50.00%,56.00%,68.00%,>68.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",1000,4999,40.00%,46.00%,52.00%,60.00%,72.00%,>72.00%
"[Enterprise, Unlimited] Insurance Quoting for Financial Services Cloud",5000,999999999,,,,,,>0.00%
[Unlimited] Manufacturing Cloud - Sales,1,9,15.00%,25.00%,34.00%,38.00%,47.00%,>47.00%
[Unlimited] Manufacturing Cloud - Sales,10,24,18.00%,27.00%,35.00%,39.00%,47.00%,>47.00%
[Unlimited] Manufacturing Cloud - Sales,25,49,21.00%,27.00%,35.00%,39.00%,50.00%,>50.00%
[Unlimited] Manufacturing Cloud - Sales,50,99,24.00%,29.00%,37.00%,41.00%,52.00%,>52.00%
[Unlimited] Manufacturing Cloud - Sales,100,199,25.00%,36.00%,45.00%,51.00%,55.00%,>55.00%
[Unlimited] Manufacturing Cloud - Sales,200,499,25.00%,40.00%,50.00%,55.00%,59.00%,>59.00%
